caseNo,round,businessDate,scenario,expectedIntent,actualIntent,intentMatched,taskId,reportId,traceId,taskStatus,reportStatus,passed,wallClockDurationMs,taskDurationMs,toolInvocationCount,toolSuccessCount,toolCodes,markdownLength,gmv,orderCount,refundRate,negativeCount,productCandidateCount,adCost,adRoi,externalVisitors,errorMessage
1,1,2018-08-01,daily_review,daily_review,daily_review,True,172,137,tr_2bb45a1b652d4304b2ec85ef5fad8c20,SUCCESS,SUCCESS,True,778.5,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2961,48850.81,311,0.0116,58,10,,9.1229,,
2,1,2018-08-01,comment_risk,comment_risk,comment_risk,True,173,138,tr_b07c15275f57418780c442ecf412f439,SUCCESS,SUCCESS,True,690,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1975,48850.81,311,0.0116,58,10,,,,
3,1,2018-08-01,product_optimization,product_optimization,product_optimization,True,174,139,tr_6f97588b43204b9ea7a1ce7f9a6501e2,SUCCESS,SUCCESS,True,624.7,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1907,48850.81,311,0.0116,58,10,,,,
4,1,2018-08-01,ad_anomaly,ad_anomaly,ad_anomaly,True,175,140,tr_6e160b3e27f843058f65ded4f6f4e2c6,SUCCESS,SUCCESS,True,701.8,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1063,48850.81,311,0.0116,0,0,,9.1229,,
5,1,2018-08-02,daily_review,daily_review,daily_review,True,176,141,tr_92b7de44702d448da02bab9371b9f6a9,SUCCESS,SUCCESS,True,768.7,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2997,45932.7,302,0.0074,59,10,,8.9793,,
6,1,2018-08-02,comment_risk,comment_risk,comment_risk,True,177,142,tr_75c324d4d53844d4abc8d445dfdbc68b,SUCCESS,SUCCESS,True,655.5,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,2016,45932.7,302,0.0074,59,10,,,,
7,1,2018-08-02,product_optimization,product_optimization,product_optimization,True,178,143,tr_aa1159764c744b0caf3ce65515812cc0,SUCCESS,SUCCESS,True,778.1,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1947,45932.7,302,0.0074,59,10,,,,
8,1,2018-08-02,ad_anomaly,ad_anomaly,ad_anomaly,True,179,144,tr_d9980283abb74e1b8f13a7e9cde6afb9,SUCCESS,SUCCESS,True,602.4,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1061,45932.7,302,0.0074,0,0,,8.9793,,
9,1,2018-08-03,daily_review,daily_review,daily_review,True,180,145,tr_807ea31b15e648aaaabd0d3aa02d5261,SUCCESS,SUCCESS,True,1061.1,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2919,49517.59,314,0.0062,50,10,,9.6186,,
10,1,2018-08-03,comment_risk,comment_risk,comment_risk,True,181,146,tr_c1028ff8f541400881e26b67c4585795,SUCCESS,SUCCESS,True,742,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1934,49517.59,314,0.0062,50,10,,,,
11,1,2018-08-03,product_optimization,product_optimization,product_optimization,True,182,147,tr_14c32b51de9a4c28aac87f7dae4dc9d0,SUCCESS,SUCCESS,True,683.3,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1866,49517.59,314,0.0062,50,10,,,,
12,1,2018-08-03,ad_anomaly,ad_anomaly,ad_anomaly,True,183,148,tr_9ef3b532cc62407fab2f94ddeaf02a8d,SUCCESS,SUCCESS,True,551.9,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1062,49517.59,314,0.0062,0,0,,9.6186,,
13,1,2018-08-04,daily_review,daily_review,daily_review,True,184,149,tr_2e7f97b8982841ecb807c6ec447c6013,SUCCESS,SUCCESS,True,885,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,3016,41239.97,245,0.004,66,10,,9.6852,,
14,1,2018-08-04,comment_risk,comment_risk,comment_risk,True,185,150,tr_6cebe07b583e49808a107e83364bb33b,SUCCESS,SUCCESS,True,718.7,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,2030,41239.97,245,0.004,66,10,,,,
15,1,2018-08-04,product_optimization,product_optimization,product_optimization,True,186,151,tr_5b038eda0c0c4ae98ca94163b84c2584,SUCCESS,SUCCESS,True,651.8,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1962,41239.97,245,0.004,66,10,,,,
16,1,2018-08-04,ad_anomaly,ad_anomaly,ad_anomaly,True,187,152,tr_29a219df6b314b1294abe88416bb976b,SUCCESS,SUCCESS,True,540,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1065,41239.97,245,0.004,0,0,,9.6852,,
17,1,2018-08-05,daily_review,daily_review,daily_review,True,188,153,tr_00f2e53e9cee422aab62fde94e640a11,SUCCESS,SUCCESS,True,935.8,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2983,42272.07,276,0.0046,27,10,,8.5506,,
18,1,2018-08-05,comment_risk,comment_risk,comment_risk,True,189,154,tr_5f43fb3846854b14acd81ccf51c7e6f3,SUCCESS,SUCCESS,True,738,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1996,42272.07,276,0.0046,27,10,,,,
19,1,2018-08-05,product_optimization,product_optimization,product_optimization,True,190,155,tr_42b836ee501c4ee597ea7ed435eaae35,SUCCESS,SUCCESS,True,553.2,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1928,42272.07,276,0.0046,27,10,,,,
20,1,2018-08-05,ad_anomaly,ad_anomaly,ad_anomaly,True,191,156,tr_2eb16b4458e241d58a943e74e420673e,SUCCESS,SUCCESS,True,664.3,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1066,42272.07,276,0.0046,0,0,,8.5506,,
21,1,2018-08-06,daily_review,daily_review,daily_review,True,192,157,tr_c0839e8be50644efaab8509354e057e3,SUCCESS,SUCCESS,True,835.6,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2337,65860.43,372,0.0415,2,2,,9.2969,,
22,1,2018-08-06,comment_risk,comment_risk,comment_risk,True,193,158,tr_5af972731bcb41fbb45d010ff1075a6f,SUCCESS,SUCCESS,True,657.4,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1367,65860.43,372,0.0415,2,2,,,,
23,1,2018-08-06,product_optimization,product_optimization,product_optimization,True,194,159,tr_c56a3b7c6bcd486696745d16db537387,SUCCESS,SUCCESS,True,570.6,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1376,65860.43,372,0.0415,2,2,,,,
24,1,2018-08-06,ad_anomaly,ad_anomaly,ad_anomaly,True,195,160,tr_56d2d787c42e42dcab985d55e1e5512e,SUCCESS,SUCCESS,True,790.5,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1060,65860.43,372,0.0415,0,0,,9.2969,,
25,1,2018-08-07,daily_review,daily_review,daily_review,True,196,161,tr_494e62ed1f384897871063ea142e1bc3,SUCCESS,SUCCESS,True,948.1,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2958,62057.77,370,0.0763,51,10,,9.0897,,
26,1,2018-08-07,comment_risk,comment_risk,comment_risk,True,197,162,tr_c0b7cddfafcd4e1f8dd64a046969d50e,SUCCESS,SUCCESS,True,630.8,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1970,62057.77,370,0.0763,51,10,,,,
27,1,2018-08-07,product_optimization,product_optimization,product_optimization,True,198,163,tr_8d9a2e2684364105b88cd6cbc5de4b2a,SUCCESS,SUCCESS,True,595.8,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1902,62057.77,370,0.0763,51,10,,,,
28,1,2018-08-07,ad_anomaly,ad_anomaly,ad_anomaly,True,199,164,tr_19da98b9a588477cab462b5ea40bb452,SUCCESS,SUCCESS,True,589.9,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1065,62057.77,370,0.0763,0,0,,9.0897,,
29,2,2018-08-01,daily_review,daily_review,daily_review,True,200,165,tr_d203d12652db4a8caf1c0ece7a36909c,SUCCESS,SUCCESS,True,867.2,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2961,48850.81,311,0.0116,58,10,,9.1229,,
30,2,2018-08-01,comment_risk,comment_risk,comment_risk,True,201,166,tr_abd67e629f6942e3bf0c7ea0abdf95dd,SUCCESS,SUCCESS,True,735.2,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1975,48850.81,311,0.0116,58,10,,,,
31,2,2018-08-01,product_optimization,product_optimization,product_optimization,True,202,167,tr_eee7064c043a4f75b5f809045a2c7492,SUCCESS,SUCCESS,True,631.7,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1907,48850.81,311,0.0116,58,10,,,,
32,2,2018-08-01,ad_anomaly,ad_anomaly,ad_anomaly,True,203,168,tr_b76b2c92fab04e93bd58329351c67f14,SUCCESS,SUCCESS,True,571.4,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1063,48850.81,311,0.0116,0,0,,9.1229,,
33,2,2018-08-02,daily_review,daily_review,daily_review,True,204,169,tr_fec3c94c74c8432a9ee599bae5c038fa,SUCCESS,SUCCESS,True,724.4,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2997,45932.7,302,0.0074,59,10,,8.9793,,
34,2,2018-08-02,comment_risk,comment_risk,comment_risk,True,205,170,tr_880884a30a5e4fd89a1570ec32378208,SUCCESS,SUCCESS,True,599.1,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,2016,45932.7,302,0.0074,59,10,,,,
35,2,2018-08-02,product_optimization,product_optimization,product_optimization,True,206,171,tr_b9dac41c4ed541ad8464fbc94f8146da,SUCCESS,SUCCESS,True,609.7,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1947,45932.7,302,0.0074,59,10,,,,
36,2,2018-08-02,ad_anomaly,ad_anomaly,ad_anomaly,True,207,172,tr_c4a99eb393d94a87ac72efc4ac2ab247,SUCCESS,SUCCESS,True,602.5,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1061,45932.7,302,0.0074,0,0,,8.9793,,
37,2,2018-08-03,daily_review,daily_review,daily_review,True,208,173,tr_9cdae40cbac74025b289bd2e49bea46a,SUCCESS,SUCCESS,True,874.7,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2919,49517.59,314,0.0062,50,10,,9.6186,,
38,2,2018-08-03,comment_risk,comment_risk,comment_risk,True,209,174,tr_7400d056997e4d7a83ecc73e52f78665,SUCCESS,SUCCESS,True,717.4,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1934,49517.59,314,0.0062,50,10,,,,
39,2,2018-08-03,product_optimization,product_optimization,product_optimization,True,210,175,tr_9c2fc146522d4aaba208d56e7363540c,SUCCESS,SUCCESS,True,577.4,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1866,49517.59,314,0.0062,50,10,,,,
40,2,2018-08-03,ad_anomaly,ad_anomaly,ad_anomaly,True,211,176,tr_53c0aa5a88f24449aec51c917292f09f,SUCCESS,SUCCESS,True,612.4,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1062,49517.59,314,0.0062,0,0,,9.6186,,
41,2,2018-08-04,daily_review,daily_review,daily_review,True,212,177,tr_5b34a0a74876452d8f1e13c63f659b9a,SUCCESS,SUCCESS,True,764,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,3016,41239.97,245,0.004,66,10,,9.6852,,
42,2,2018-08-04,comment_risk,comment_risk,comment_risk,True,213,178,tr_d1115470fda34bb29b58fac44f24d345,SUCCESS,SUCCESS,True,645.2,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,2030,41239.97,245,0.004,66,10,,,,
43,2,2018-08-04,product_optimization,product_optimization,product_optimization,True,214,179,tr_810c2eefa3eb4adc8d541dc7162cd93f,SUCCESS,SUCCESS,True,653.2,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1962,41239.97,245,0.004,66,10,,,,
44,2,2018-08-04,ad_anomaly,ad_anomaly,ad_anomaly,True,215,180,tr_fd87c658685f4cc9a963c329997cf404,SUCCESS,SUCCESS,True,575.1,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1065,41239.97,245,0.004,0,0,,9.6852,,
45,2,2018-08-05,daily_review,daily_review,daily_review,True,216,181,tr_18046be341c74af08d3a5d988bcda132,SUCCESS,SUCCESS,True,844.6,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2983,42272.07,276,0.0046,27,10,,8.5506,,
46,2,2018-08-05,comment_risk,comment_risk,comment_risk,True,217,182,tr_6f83195519494c32bf0c76e358e0b96c,SUCCESS,SUCCESS,True,640.5,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1996,42272.07,276,0.0046,27,10,,,,
47,2,2018-08-05,product_optimization,product_optimization,product_optimization,True,218,183,tr_c153e90a7a45464db0c69c4cd0cccc6c,SUCCESS,SUCCESS,True,537.5,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1928,42272.07,276,0.0046,27,10,,,,
48,2,2018-08-05,ad_anomaly,ad_anomaly,ad_anomaly,True,219,184,tr_5c70b8e74efa424cb9c7d7c799952dd7,SUCCESS,SUCCESS,True,649.7,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1066,42272.07,276,0.0046,0,0,,8.5506,,
49,2,2018-08-06,daily_review,daily_review,daily_review,True,220,185,tr_fe92c5716be54abe8ec9e3cfa5a85b50,SUCCESS,SUCCESS,True,788.7,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2337,65860.43,372,0.0415,2,2,,9.2969,,
50,2,2018-08-06,comment_risk,comment_risk,comment_risk,True,221,186,tr_752d8fdb3c7a4a1ba83636769e323a5b,SUCCESS,SUCCESS,True,559.1,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1367,65860.43,372,0.0415,2,2,,,,
51,2,2018-08-06,product_optimization,product_optimization,product_optimization,True,222,187,tr_4d3f91f5e7cf44f1ba8498b08b22d06e,SUCCESS,SUCCESS,True,597.6,0,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1376,65860.43,372,0.0415,2,2,,,,
52,2,2018-08-06,ad_anomaly,ad_anomaly,ad_anomaly,True,223,188,tr_9451d5c1b2a741a1811f5e5a58d5fab7,SUCCESS,SUCCESS,True,677.9,1000,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1060,65860.43,372,0.0415,0,0,,9.2969,,
53,2,2018-08-07,daily_review,daily_review,daily_review,True,224,189,tr_cd110939efbf4d3685fbf81ca89ae996,SUCCESS,SUCCESS,True,817.7,1000,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2958,62057.77,370,0.0763,51,10,,9.0897,,
54,2,2018-08-07,comment_risk,comment_risk,comment_risk,True,225,190,tr_f4d0cef27f4a42198aed3836a291ec6c,SUCCESS,SUCCESS,True,591.8,0,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1970,62057.77,370,0.0763,51,10,,,,
55,2,2018-08-07,product_optimization,product_optimization,product_optimization,True,226,191,tr_9ffe73afa9324db4969f0ebd8c84b46e,SUCCESS,SUCCESS,True,560.2,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1902,62057.77,370,0.0763,51,10,,,,
56,2,2018-08-07,ad_anomaly,ad_anomaly,ad_anomaly,True,227,192,tr_15f2a5d5488e4e1f8fe7240983642f71,SUCCESS,SUCCESS,True,705.5,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1065,62057.77,370,0.0763,0,0,,9.0897,,
57,3,2018-08-01,daily_review,daily_review,daily_review,True,228,193,tr_9aa7da1d688f417eae4b320199d80e1f,SUCCESS,SUCCESS,True,835,0,6,6,order.query_summary;comment.query_negative;product.query_candidates;ad.query_performance;report.query_external_metrics;report.generate_daily_review,2961,48850.81,311,0.0116,58,10,,9.1229,,
58,3,2018-08-01,comment_risk,comment_risk,comment_risk,True,229,194,tr_ad668c2398c74dcea02d0cc669156923,SUCCESS,SUCCESS,True,599.7,1000,4,4,order.query_summary;comment.query_negative;product.query_candidates;report.generate_daily_review,1975,48850.81,311,0.0116,58,10,,,,
59,3,2018-08-01,product_optimization,product_optimization,product_optimization,True,230,195,tr_8477e30cc4a044d49bae7ca4a5d6a119,SUCCESS,SUCCESS,True,578,1000,4,4,order.query_summary;product.query_candidates;comment.query_negative;report.generate_daily_review,1907,48850.81,311,0.0116,58,10,,,,
60,3,2018-08-01,ad_anomaly,ad_anomaly,ad_anomaly,True,231,196,tr_0894f63e192348efb30c4a9112a45e56,SUCCESS,SUCCESS,True,652.1,0,4,4,order.query_summary;ad.query_performance;report.query_external_metrics;report.generate_daily_review,1063,48850.81,311,0.0116,0,0,,9.1229,,
